Model,Validation MAE,Validation MSE,Validation MAPE,Validation RMSE,Validation R²,Validation MBD,Validation sMAPE,Test MAE,Test MSE,Test MAPE,Test RMSE,Test R²,Test MBD,Test sMAPE
Random Forest,250.3272083333327,130704.30550556914,0.026973703869956744,361.5305042531946,0.9109090711570111,-137.33634722222237,2.622812906643268,281.1197222222221,139626.84389650018,0.02978318470218362,373.66675513952293,0.8947273748202129,-168.46514814814827,2.911853056847644
Gradient Boosting,114.85685115345139,41931.86789206645,0.012549244456602895,204.77272252931164,0.9714183167557053,-7.1330286472699145,1.2336931777154332,117.7952092909906,30814.139496709337,0.012644255064524882,175.539566755502,0.9767674662912289,-34.43069980578831,1.2522860163463185
ARIMA,1075.4653972584708,1538666.7730981826,0.10900710473057358,1240.4300758600552,-0.04878910809346326,-131.8474089798489,7.497340583510301,1092.2232201427294,1508089.130432101,0.11317223126483793,1228.0428048044992,-0.13703423593369002,-459.3978188290927,10.323741715412032
