Model,Validation MAE,Validation MSE,Validation MAPE,Validation RMSE,Validation R²,Validation MBD,Validation sMAPE,Test MAE,Test MSE,Test MAPE,Test RMSE,Test R²,Test MBD,Test sMAPE
Random Forest,33.075444444445715,1838.9485638518624,0.0033531610915354857,42.88296356190722,0.9986551066000329,-4.16677777777674,0.3348698668919531,101.96349999999954,23778.61093403694,0.011105931769603972,154.20314826240397,0.9809012642201248,-69.57238888888878,1.0961316202278764
Gradient Boosting,35.33056809147638,1664.0019796668576,0.0034269168118707927,40.792180374023374,0.9987830517264177,-14.214660972938267,0.3423578101152498,73.7691910108797,11889.39698270827,0.008105728561941316,109.03851146594157,0.9904505586056015,-38.46904654273112,0.8044089888853955
ARIMA,1025.1365764365328,1414569.3707007328,0.09770866344626461,1189.3567045679495,-0.03452866917940489,-131.8474089798489,7.497340583510301,1042.0348598514931,1331678.8052229017,0.10707876978153176,1153.983884299474,-0.06959072231618246,,
