Model,Validation MAE,Validation MSE,Validation MAPE,Validation RMSE,Validation R²,Validation MBD,Validation sMAPE,Test MAE,Test MSE,Test MAPE,Test RMSE,Test R²,Test MBD,Test sMAPE
Random Forest,114.92222222222252,61739.24878396291,0.01311604447572596,248.4738392345619,0.9579171703720406,-74.23794444444236,1.2703186178801542,147.5977037037032,54247.83216197522,0.016254833133890617,232.91164024577049,0.9590994715440477,-116.20788888888829,1.5911657508114205
Gradient Boosting,91.10804093466368,43863.55082172415,0.010345001957348436,209.43626911718073,0.9701016391928073,-57.76012211683686,1.005424890909422,99.26550513509957,31100.184675231932,0.011157351508422043,176.35244448329016,0.9765518005494364,-69.53120324830394,1.0960573384862504
ARIMA,1075.4653972584708,1538666.7730981826,0.10900710473057358,1240.4300758600552,-0.04878910809346326,-131.8474089798489,7.497340583510301,1092.2232201427294,1508089.130432101,0.11317223126483793,1228.0428048044992,-0.13703423593369002,-459.3978188290927,10.323741715412032
